point_id,ts,anchor_ids,ranges,X_LOCAL_BLE,Y_LOCAL_BLE,Z_LOCAL_BLE
A13B6,1729686520045,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[52.9, 38.05, 46.39, 23.34, 61.32]",4.019,32.81,3.284
A13B6,1729686520541,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[52.9, nan, 46.46, 29.71, nan]",4.019,32.81,3.284
A13B6,1729686520958,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[43.03, nan, 39.73, 29.56, nan]",4.019,32.81,3.284
A13B6,1729686521421,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[51.44, nan, 44.71, 29.56, nan]",4.019,32.81,3.284
A13B6,1729686521837,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[46.03, nan, 44.71, 23.78, nan]",4.019,32.81,3.284
A13B6,1729686522364,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[43.1, nan, 44.85, 20.92, nan]",4.019,32.81,3.284
A13B6,1729686522860,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[45.95, 37.9, nan, 23.78, nan]",4.019,32.81,3.284
A13B6,1729686523436,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[48.81, 37.98, 39.88, 23.49, nan]",4.019,32.81,3.284
A13B6,1729686533691,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.66, 37.9, 44.71, nan, 37.54]",4.019,32.81,3.284
A13B6,1729686534188,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.59, nan, 44.71, 23.78, 37.46]",4.019,32.81,3.284
A13B6,1729686534683,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.59, nan, 44.64, 23.78, 37.39]",4.019,32.81,3.284
A13B6,1729686535164,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.59, nan, 44.64, 23.78, nan]",4.019,32.81,3.284
A13B6,1729686535564,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.66, nan, 44.64, nan, nan]",4.019,32.81,3.284
A13B6,1729686536092,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.66, nan, 44.64, 23.85, nan]",4.019,32.81,3.284
A13B6,1729686536588,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.66, nan, 44.71, 23.78, 37.32]",4.019,32.81,3.284
A13B6,1729686537084,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.59, nan, 44.64, 23.78, 37.32]",4.019,32.81,3.284
A13B6,1729686537564,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.66, nan, 44.78, 23.71, nan]",4.019,32.81,3.284
A13B6,1729686538045,"['BLE1', 'BLE2', 'BLE3', 'BLE4', 'BLE5']","[54.59, nan, 44.64, 23.71, nan]",4.019,32.81,3.284
