point_id,ts,anchor_ids,ranges,X_LOCAL_UWB,Y_LOCAL_UWB,Z_LOCAL_UWB
A13B6,1729686531323,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.52, 7.78, 9.94, 20.33, 18.22, 26.71, 30.2, 39.52, 40.18, 42.13]",4.001,33.059,3.336
A13B6,1729686532552,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.43, 7.82, 10.04, 15.65, 18.11, 26.67, 29.9, 39.37, 40.12, 41.93]",4.001,33.059,3.336
A13B6,1729686533781,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.43, 7.78, 9.96, nan, 18.14, 26.44, 29.8, 39.6, 40.21, 42.28]",4.001,33.059,3.336
A13B6,1729686535009,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.51, 7.8, 10.03, 18.04, 18.21, 26.85, 29.75, 39.55, 40.15, 42.23]",4.001,33.059,3.336
A13B6,1729686536238,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.44, 7.77, 9.9, 17.68, 18.1, 26.6, 29.74, 39.64, 40.27, 42.07]",4.001,33.059,3.336
A13B6,1729686537467,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.54, 7.75, 9.92, 18.32, 18.15, 27.71, 30.87, 39.7, 40.24, 42.04]",4.001,33.059,3.336
A13B6,1729686538696,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.47, 7.82, 10.0, 16.07, 18.19, 26.56, 29.74, 39.45, 40.3, 42.27]",4.001,33.059,3.336
A13B6,1729686539924,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.4, 7.8, 10.05, 18.14, 18.22, 26.59, 29.97, 39.69, 40.21, 42.1]",4.001,33.059,3.336
A13B6,1729686541153,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.48, 7.77, 10.05, 18.0, 18.14, 26.64, 29.96, 39.46, 40.29, 42.01]",4.001,33.059,3.336
A13B6,1729686542381,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.6, 7.81, 9.86, 18.13, 18.11, 26.66, 29.8, 39.52, 40.29, 42.27]",4.001,33.059,3.336
A13B6,1729686543610,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.4, 7.8, 10.02, 17.92, 18.02, 26.54, 29.95, 39.74, 40.37, 42.45]",4.001,33.059,3.336
A13B6,1729686544840,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.82, 7.86, 9.98, 19.61, 18.22, 26.72, 29.84, 39.59, 40.32, 42.17]",4.001,33.059,3.336
A13B6,1729686546068,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.49, 7.79, 9.81, 18.09, 18.15, nan, nan, 39.63, 40.21, 42.48]",4.001,33.059,3.336
A13B6,1729686547297,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.42, 7.78, 9.87, 16.33, 18.29, 25.56, 29.94, 39.39, 39.8, 42.42]",4.001,33.059,3.336
A13B6,1729686548526,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.49, 7.8, 9.89, 17.39, 18.18, 27.23, 29.72, 39.4, 40.21, 42.07]",4.001,33.059,3.336
A13B6,1729686549754,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.35, 7.83, 9.96, 16.21, 18.15, 26.69, 30.03, 39.59, 40.52, 42.27]",4.001,33.059,3.336
A13B6,1729686550984,"['UWB_07', 'UWB_06', 'UWB_01', 'UWB_10', 'UWB_05', 'UWB_02', 'UWB_04', 'UWB_08', 'UWB_03', 'UWB_09']","[2.39, 7.72, 9.81, 16.36, 18.14, 26.55, 29.72, 39.65, 40.2, 41.95]",4.001,33.059,3.336
