point_id,ts,anchor_ids,ranges,X_LOCAL_WIFI,Y_LOCAL_WIFI,Z_LOCAL_WIFI
A13B6,1729686520631.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[42.449, 26.125, 33.574, 20.14, 10.027, nan]",4.046,32.905,3.312
A13B6,1729686521361.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[46.839, 26.382, 29.289, 23.832, 9.972, 7.531]",4.046,32.905,3.312
A13B6,1729686522145.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[44.285, 27.566, 29.964, 23.941, 10.546, 6.738]",4.046,32.905,3.312
A13B6,1729686522887.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[49.859, 25.992, 37.023, 23.242, 9.679, 7.199]",4.046,32.905,3.312
A13B6,1729686523728.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[49.218, 26.296, 33.289, 19.894, 10.179, 7.039]",4.046,32.905,3.312
A13B6,1729686524491.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[49.25, 26.414, 36.73, 22.16, 10.406, 6.8]",4.046,32.905,3.312
A13B6,1729686525313.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[50.503, 26.23, 37.125, 20.019, 10.449, 6.863]",4.046,32.905,3.312
A13B6,1729686526066.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[48.296, 26.05, 36.503, 22.531, 10.144, 6.917]",4.046,32.905,3.312
A13B6,1729686526810.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[46.691, 25.625, 36.156, 19.847, 10.046, 6.691]",4.046,32.905,3.312
A13B6,1729686527568.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[50.398, 26.117, 36.41, 19.812, 9.785, 6.386]",4.046,32.905,3.312
A13B6,1729686528358.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[50.781, 26.351, 37.402, 20.007, 10.058, 6.976]",4.046,32.905,3.312
A13B6,1729686529119.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[45.535, 25.941, 35.832, 23.371, 10.335, 6.777]",4.046,32.905,3.312
A13B6,1729686529874.0,"['WIFI_01', 'WIFI_02', 'WIFI_03', 'WIFI_04', 'WIFI_05', 'WIFI_06']","[48.382, 26.167, 36.718, 20.46, 10.277, 7.191]",4.046,32.905,3.312
