point_id,E,N,U,X_LOCAL,Y_LOCAL,Z_LOCAL,X_ECEF,Y_ECEF,Z_ECEF
BLE_01,361628.902,5715136.121,86.17,3.69,22.509,3.214,3870708.595,893864.118,4973294.938
BLE_02,361619.936,5715149.684,85.889,4.058,6.255,2.933,3870700.362,893852.637,4973302.994
BLE_03,361620.004,5715164.641,86.931,-3.964,-6.37,3.975,3870689.654,893849.814,4973313.107
BLE_04,361634.512,5715156.992,85.965,-12.172,7.83,3.009,3870691.293,893865.295,4973307.843
BLE_05,361643.079,5715143.02,85.979,-11.984,24.218,3.023,3870699.772,893876.435,4973299.316
UWB_01,361628.899,5715136.135,86.382,3.685,22.496,3.426,3870708.714,893864.143,4973295.113
UWB_02,361619.936,5715149.682,86.088,4.059,6.256,3.132,3870700.484,893852.665,4973303.149
UWB_03,361620.002,5715164.653,87.07,-3.969,-6.381,4.114,3870689.729,893849.83,4973313.223
UWB_04,361634.501,5715156.983,86.241,-12.157,7.832,3.285,3870691.47,893865.324,4973308.053
UWB_05,361643.068,5715143.023,86.3,-11.976,24.21,3.344,3870699.967,893876.469,4973299.569
UWB_06,361640.675,5715131.192,86.241,-3.651,32.95,3.285,3870709.476,893876.54,4973292.13
UWB_07,361634.723,5715124.869,86.405,4.754,35.133,3.449,3870715.824,893872.076,4973288.229
UWB_08,361614.902,5715161.485,86.605,2.035,-6.415,3.649,3870693.099,893845.463,4973310.803
UWB_09,361625.094,5715167.855,87.139,-9.984,-6.38,4.183,3870686.096,893854.126,4973315.353
UWB_10,361649.761,5715132.614,86.487,-12.099,36.584,3.531,3870706.315,893885.094,4973293.361
WIFI_01,361628.95,5715136.131,86.558,3.644,22.526,3.602,3870708.811,893864.217,4973295.249
WIFI_02,361619.971,5715149.715,86.469,4.012,6.247,3.513,3870700.681,893852.745,4973303.468
WIFI_03,361620.047,5715164.618,87.28,-3.988,-6.327,4.324,3870689.872,893849.91,4973313.366
WIFI_04,361634.455,5715156.955,86.515,-12.104,7.831,3.559,3870691.668,893865.324,4973308.25
WIFI_05,361643.027,5715142.996,86.559,-11.927,24.211,3.603,3870700.155,893876.471,4973299.755
WIFI_06,361640.663,5715131.252,86.571,-3.673,32.893,3.615,3870709.633,893876.563,4973292.426
