point_id,X_LOCAL_CENTER,Y_LOCAL_CENTER,Z_LOCAL_CENTER,E_CENTER,N_CENTER,U_CENTER,X_ECEF_CENTER,Y_ECEF_CENTER,Z_ECEF_CENTER,X_LOCAL_GNSS,Y_LOCAL_GNSS,Z_LOCAL_GNSS,E_GNSS,N_GNSS,U_GNSS,X_ECEF_GNSS,Y_ECEF_GNSS,Z_ECEF_GNSS,X_LOCAL_NR5G,Y_LOCAL_NR5G,Z_LOCAL_NR5G,E_NR5G,N_NR5G,U_NR5G,X_ECEF_NR5G,Y_ECEF_NR5G,Z_ECEF_NR5G,X_LOCAL_UWB1,Y_LOCAL_UWB1,Z_LOCAL_UWB1,E_UWB1,N_UWB1,U_UWB1,X_ECEF_UWB1,Y_ECEF_UWB1,Z_ECEF_UWB1,X_LOCAL_UWB2,Y_LOCAL_UWB2,Z_LOCAL_UWB2,E_UWB2,N_UWB2,U_UWB2,X_ECEF_UWB2,Y_ECEF_UWB2,Z_ECEF_UWB2,X_LOCAL_WIFI,Y_LOCAL_WIFI,Z_LOCAL_WIFI,E_WIFI,N_WIFI,U_WIFI,X_ECEF_WIFI,Y_ECEF_WIFI,Z_ECEF_WIFI,X_LOCAL_BLE,Y_LOCAL_BLE,Z_LOCAL_BLE,E_BLE,N_BLE,U_BLE,X_ECEF_BLE,Y_ECEF_BLE,Z_ECEF_BLE
A13B6,4.104,32.903,3.316,361634.086,5715127.103,86.272,3870714.21,893870.987,4973289.502,4.281,33.032,3.355,361634.005,5715126.899,86.311,3870714.407,893870.955,4973289.404,4.223,32.848,3.351,361633.956,5715127.086,86.307,3870714.276,893870.869,4973289.516,4.317,32.832,3.328,361633.868,5715127.049,86.284,3870714.311,893870.788,4973289.474,4.001,33.059,3.336,361634.256,5715127.026,86.292,3870714.238,893871.17,4973289.472,4.046,32.905,3.312,361634.136,5715127.132,86.268,3870714.173,893871.029,4973289.518,4.019,32.81,3.284,361634.108,5715127.227,86.24,3870714.091,893870.979,4973289.554
A12B5,1.141,29.928,3.31,361635.01,5715131.199,86.266,3870710.878,893871.051,4973292.058,1.318,30.057,3.349,361634.929,5715130.995,86.305,3870711.076,893871.019,4973291.961,1.26,29.873,3.345,361634.88,5715131.182,86.301,3870710.944,893870.933,4973292.073,1.354,29.857,3.322,361634.792,5715131.145,86.278,3870710.98,893870.852,4973292.031,1.038,30.084,3.33,361635.18,5715131.121,86.286,3870710.907,893871.234,4973292.029,1.083,29.93,3.306,361635.06,5715131.228,86.262,3870710.842,893871.093,4973292.074,1.056,29.835,3.278,361635.032,5715131.323,86.234,3870710.76,893871.043,4973292.11
A13B4,-1.866,32.92,3.321,361639.148,5715130.267,86.277,3870710.573,893875.253,4973291.558,-1.689,33.049,3.36,361639.067,5715130.064,86.316,3870710.77,893875.221,4973291.461,-1.747,32.865,3.356,361639.018,5715130.25,86.312,3870710.639,893875.135,4973291.573,-1.653,32.849,3.333,361638.93,5715130.214,86.289,3870710.674,893875.054,4973291.53,-1.969,33.076,3.341,361639.319,5715130.19,86.297,3870710.602,893875.436,4973291.529,-1.924,32.922,3.317,361639.198,5715130.296,86.273,3870710.536,893875.295,4973291.574,-1.951,32.827,3.289,361639.171,5715130.391,86.245,3870710.454,893875.245,4973291.61
A12B3,-4.86,29.889,3.322,361640.069,5715134.427,86.278,3870707.198,893875.302,4973294.159,-4.683,30.018,3.361,361639.988,5715134.223,86.317,3870707.396,893875.27,4973294.062,-4.741,29.834,3.357,361639.939,5715134.41,86.313,3870707.264,893875.184,4973294.174,-4.647,29.818,3.334,361639.851,5715134.374,86.29,3870707.3,893875.103,4973294.132,-4.963,30.045,3.342,361640.239,5715134.35,86.298,3870707.227,893875.485,4973294.13,-4.918,29.891,3.318,361640.119,5715134.456,86.274,3870707.162,893875.344,4973294.175,-4.945,29.796,3.29,361640.091,5715134.551,86.246,3870707.08,893875.294,4973294.212
A13B2,-7.839,32.869,3.319,361644.177,5715133.491,86.275,3870706.895,893879.473,4973293.645,-7.662,32.998,3.358,361644.096,5715133.287,86.314,3870707.093,893879.442,4973293.548,-7.72,32.814,3.354,361644.047,5715133.474,86.31,3870706.961,893879.356,4973293.66,-7.626,32.798,3.331,361643.959,5715133.437,86.287,3870706.997,893879.275,4973293.617,-7.942,33.025,3.339,361644.347,5715133.413,86.295,3870706.924,893879.657,4973293.615,-7.897,32.871,3.315,361644.227,5715133.52,86.271,3870706.859,893879.516,4973293.661,-7.924,32.776,3.287,361644.199,5715133.615,86.243,3870706.777,893879.466,4973293.697
A12B1,-10.831,29.882,3.318,361645.119,5715137.612,86.274,3870703.543,893879.551,4973296.221,-10.654,30.011,3.357,361645.038,5715137.409,86.313,3870703.741,893879.519,4973296.124,-10.712,29.827,3.353,361644.989,5715137.595,86.309,3870703.609,893879.433,4973296.236,-10.618,29.811,3.33,361644.901,5715137.559,86.286,3870703.645,893879.352,4973296.194,-10.934,30.038,3.338,361645.289,5715137.535,86.294,3870703.572,893879.734,4973296.192,-10.889,29.884,3.314,361645.169,5715137.641,86.27,3870703.506,893879.593,4973296.237,-10.916,29.789,3.286,361645.142,5715137.736,86.242,3870703.425,893879.543,4973296.274
A11B2,-7.922,26.872,3.319,361641.054,5715138.611,86.275,3870703.787,893875.408,4973296.774,-7.745,27.001,3.358,361640.973,5715138.408,86.314,3870703.985,893875.376,4973296.677,-7.803,26.817,3.354,361640.924,5715138.594,86.31,3870703.853,893875.29,4973296.789,-7.709,26.801,3.331,361640.836,5715138.558,86.287,3870703.888,893875.209,4973296.746,-8.025,27.028,3.339,361641.224,5715138.534,86.295,3870703.816,893875.591,4973296.744,-7.98,26.874,3.315,361641.104,5715138.64,86.271,3870703.75,893875.45,4973296.79,-8.007,26.779,3.287,361641.077,5715138.735,86.243,3870703.668,893875.4,4973296.826
A10B1,-10.792,23.891,3.317,361641.896,5715142.662,86.273,3870700.512,893875.402,4973299.304,-10.615,24.02,3.356,361641.815,5715142.459,86.312,3870700.709,893875.37,4973299.207,-10.673,23.836,3.352,361641.766,5715142.646,86.308,3870700.578,893875.284,4973299.319,-10.579,23.82,3.329,361641.678,5715142.609,86.285,3870700.613,893875.203,4973299.277,-10.895,24.047,3.337,361642.066,5715142.585,86.293,3870700.541,893875.585,4973299.275,-10.85,23.893,3.313,361641.946,5715142.692,86.269,3870700.475,893875.444,4973299.32,-10.877,23.798,3.285,361641.919,5715142.786,86.241,3870700.393,893875.394,4973299.357
A10B3,-4.86,23.891,3.318,361636.875,5715139.504,86.274,3870704.138,893871.175,4973297.257,-4.683,24.02,3.357,361636.794,5715139.3,86.313,3870704.335,893871.143,4973297.16,-4.741,23.836,3.353,361636.745,5715139.487,86.309,3870704.204,893871.058,4973297.272,-4.647,23.82,3.33,361636.657,5715139.451,86.286,3870704.239,893870.976,4973297.23,-4.963,24.047,3.338,361637.045,5715139.427,86.294,3870704.166,893871.359,4973297.228,-4.918,23.893,3.314,361636.925,5715139.533,86.27,3870704.101,893871.218,4973297.273,-4.945,23.798,3.286,361636.897,5715139.628,86.242,3870704.019,893871.167,4973297.309
A11B4,-1.907,26.909,3.317,361635.982,5715135.377,86.273,3870707.481,893871.147,4973294.677,-1.73,27.038,3.356,361635.901,5715135.174,86.312,3870707.678,893871.115,4973294.579,-1.788,26.854,3.352,361635.852,5715135.36,86.308,3870707.546,893871.029,4973294.691,-1.694,26.838,3.329,361635.764,5715135.324,86.285,3870707.582,893870.948,4973294.649,-2.01,27.065,3.337,361636.153,5715135.3,86.293,3870707.509,893871.331,4973294.647,-1.965,26.911,3.313,361636.033,5715135.406,86.269,3870707.444,893871.189,4973294.692,-1.992,26.816,3.285,361636.005,5715135.501,86.241,3870707.362,893871.139,4973294.729
